epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
146,855.379,1.17425,0.78699,1.09613,0.83582,0.76734,0.85176,0.52908,1.43968,0.84347,1.28762,0.001043,0.001043,0.001043
147,860.945,1.17215,0.7788,1.08981,0.80616,0.79642,0.85319,0.53656,1.41821,0.85041,1.28834,0.0010364,0.0010364,0.0010364
148,866.535,1.16387,0.77406,1.08806,0.84104,0.7651,0.85219,0.53121,1.43423,0.85257,1.29393,0.0010298,0.0010298,0.0010298
149,872.113,1.16054,0.7773,1.08618,0.80786,0.80462,0.85485,0.53211,1.43415,0.85859,1.30305,0.0010232,0.0010232,0.0010232
150,877.714,1.15726,0.77162,1.08539,0.83724,0.76722,0.85782,0.54095,1.40439,0.84225,1.27338,0.0010166,0.0010166,0.0010166
151,883.272,1.16924,0.78572,1.09999,0.86025,0.75391,0.8561,0.53922,1.40453,0.82651,1.28048,0.00101,0.00101,0.00101
152,888.834,1.15783,0.7706,1.08911,0.83993,0.77405,0.85419,0.53914,1.39401,0.83774,1.27043,0.0010034,0.0010034,0.0010034
153,894.375,1.16455,0.7707,1.08598,0.84696,0.77107,0.85605,0.53883,1.40837,0.83873,1.28434,0.0009968,0.0009968,0.0009968
154,899.949,1.16474,0.77351,1.08551,0.81811,0.78598,0.85458,0.53679,1.41862,0.84171,1.28499,0.0009902,0.0009902,0.0009902
155,905.483,1.1364,0.762,1.07913,0.84695,0.77582,0.85825,0.54219,1.4051,0.83964,1.27849,0.0009836,0.0009836,0.0009836
156,911.051,1.14258,0.75757,1.0783,0.85902,0.74273,0.85108,0.53524,1.40787,0.86032,1.27745,0.000977,0.000977,0.000977
157,916.594,1.14107,0.76572,1.08123,0.83753,0.77181,0.85463,0.5366,1.41612,0.85025,1.28067,0.0009704,0.0009704,0.0009704
158,922.17,1.15691,0.76015,1.07772,0.8333,0.77778,0.85592,0.54137,1.39754,0.83487,1.2755,0.0009638,0.0009638,0.0009638
159,927.706,1.15153,0.76038,1.08073,0.83242,0.77047,0.85373,0.54583,1.38442,0.83605,1.26573,0.0009572,0.0009572,0.0009572
160,933.288,1.14099,0.75284,1.07651,0.82467,0.78747,0.85505,0.54182,1.41359,0.8349,1.28276,0.0009506,0.0009506,0.0009506
161,938.832,1.13615,0.76112,1.07876,0.83475,0.76286,0.85337,0.53524,1.41883,0.8476,1.28064,0.000944,0.000944,0.000944
162,944.343,1.14,0.75323,1.07948,0.8345,0.77181,0.85442,0.53902,1.39614,0.83835,1.26357,0.0009374,0.0009374,0.0009374
163,949.842,1.14631,0.7486,1.07777,0.81635,0.79221,0.85393,0.53472,1.41445,0.85404,1.28738,0.0009308,0.0009308,0.0009308
164,955.396,1.14663,0.75939,1.08076,0.8478,0.76014,0.8509,0.53781,1.40475,0.8495,1.28167,0.0009242,0.0009242,0.0009242
165,960.926,1.13374,0.75118,1.07511,0.82059,0.78448,0.8517,0.54035,1.39699,0.83718,1.26467,0.0009176,0.0009176,0.0009176
166,966.48,1.12845,0.74951,1.07174,0.8372,0.76734,0.85581,0.54264,1.39819,0.83068,1.27836,0.000911,0.000911,0.000911
167,972.031,1.13285,0.74334,1.07013,0.81816,0.78151,0.85187,0.538,1.40695,0.8517,1.28209,0.0009044,0.0009044,0.0009044
168,977.574,1.13798,0.7543,1.07502,0.82817,0.7733,0.85815,0.54387,1.38436,0.81854,1.25947,0.0008978,0.0008978,0.0008978
169,983.111,1.13332,0.7442,1.06827,0.82248,0.77392,0.85359,0.53909,1.39465,0.82361,1.27264,0.0008912,0.0008912,0.0008912
170,988.679,1.12537,0.74677,1.07078,0.81388,0.78747,0.8547,0.5412,1.39307,0.82581,1.26732,0.0008846,0.0008846,0.0008846
171,994.239,1.14388,0.75446,1.07744,0.80994,0.7912,0.85607,0.54318,1.38646,0.83004,1.26794,0.000878,0.000878,0.000878
172,999.774,1.1363,0.75191,1.07297,0.82474,0.77703,0.85208,0.5406,1.39854,0.83812,1.26813,0.0008714,0.0008714,0.0008714
173,1005.31,1.1026,0.72697,1.06131,0.8317,0.77479,0.85223,0.54406,1.39316,0.83217,1.26927,0.0008648,0.0008648,0.0008648
174,1010.85,1.10315,0.72333,1.05874,0.82568,0.79344,0.85477,0.54279,1.39546,0.83773,1.26475,0.0008582,0.0008582,0.0008582
175,1016.4,1.09119,0.72053,1.05434,0.83607,0.78896,0.85888,0.5457,1.3763,0.80195,1.25951,0.0008516,0.0008516,0.0008516
176,1021.99,1.11521,0.72559,1.06004,0.82125,0.79642,0.857,0.54629,1.37863,0.81638,1.26113,0.000845,0.000845,0.000845
177,1027.57,1.11038,0.72859,1.06078,0.83315,0.77824,0.85573,0.54639,1.39301,0.82013,1.27247,0.0008384,0.0008384,0.0008384
178,1033.09,1.11554,0.72718,1.06268,0.8451,0.76734,0.8614,0.54426,1.39574,0.8309,1.27683,0.0008318,0.0008318,0.0008318
179,1038.62,1.1106,0.73494,1.06225,0.83965,0.78096,0.86096,0.54988,1.37382,0.80301,1.26428,0.0008252,0.0008252,0.0008252
180,1044.2,1.111,0.73052,1.06209,0.84377,0.77778,0.86031,0.55026,1.36969,0.80609,1.26277,0.0008186,0.0008186,0.0008186
181,1049.79,1.09898,0.72438,1.05631,0.85021,0.77927,0.86404,0.54892,1.37688,0.79551,1.26361,0.000812,0.000812,0.000812
182,1055.37,1.09609,0.71844,1.05672,0.83077,0.78822,0.85764,0.54333,1.39301,0.82948,1.26396,0.0008054,0.0008054,0.0008054
